"key"	"raw_line"	"raw_action"	"verified_target"	"status"	"subsystem"	"patch_style"	"remarks"
"RemoveBoundingBoxCulling"	"1434"	"FUN_10038770"	"InstallRemoveBoundingBoxCullingPatch"	"verified_installer"	"graphics_render"	"branch_nop_patch"	""
"EpisodicVehicleSupport"	"1442"	"FUN_1001b580"	"InstallEpisodicVehicleSupportPatch"	"verified_installer"	"episode_vehicle"	"multi_branch_patch"	""
"EpisodicWeaponSupport"	"1450"	"FUN_1001b380"	"InstallEpisodicWeaponSupportPatch"	"verified_installer"	"episode_vehicle"	"multi_branch_patch"	""
"TBoGTHeliHeightLimit"	"1458"	"FUN_1001b310"	"InstallTBoGTHeliHeightLimitPatch"	"verified_installer"	"episode_vehicle"	"branch_nop_patch"	""
"WantedLevelCrashFix"	"1466"	"FUN_100504b0"	"InstallWantedLevelCrashFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"RemoveRGSCLoginRequirement"	"1489"	"FUN_10045490"	"InstallRemoveRGSCLoginRequirementPatch"	"verified_installer"	"platform_launcher"	"custom_hook"	""
"BlackscreenFix"	"1497"	"FUN_10036fd0"	"InstallBlackscreenFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"FreezeGunFix"	"1505"	"FUN_10037070"	"InstallFreezeGunFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"GroupHackFix"	"1513"	"FUN_10036f30"	"InstallGroupHackFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"FixPCIDKickbug"	"1521"	"SHDeleteValueW"	"SHDeleteValueW"	"external_api"	"platform_launcher"	"external_api"	"registry deletion through external WinAPI call"
"TeleportProtection"	"1545"	"FUN_10037170"	"InstallTeleportProtectionPatch"	"verified_installer"	"stability_crash"	"forced_return_patch"	""
"RemoveAllWeaponsProtection"	"1553"	"FUN_10037100"	"InstallRemoveAllWeaponsProtectionPatch"	"verified_installer"	"stability_crash"	"branch_nop_patch"	""
"IncreasePtrNodes"	"1561"	"FUN_10023080"	"InstallIncreasePtrNodesPatch"	"verified_installer"	"gameplay_capacity"	"verified_behavior_pending_bucket"	""
"SCOSignatureFix"	"1569"	"FUN_10045980"	"InstallSCOSignatureFixPatch"	"verified_installer"	"compat_startup"	"branch_nop_patch"	""
"PlayerAsPedComponentsFix"	"1577"	"FUN_1003d9c0"	"InstallPlayerAsPedComponentsFixPatch"	"verified_installer"	"stability_crash"	"custom_hook"	""
"SuperLODFix"	"1585"	"FUN_10046a10"	"InstallSuperLODFixPatch"	"verified_installer"	"graphics_render"	"custom_hook"	""
"VSyncFix"	"1594"	"FUN_100503b0"	"InstallVSyncFixPatch"	"verified_installer"	"compat_startup"	"operand_redirect"	""
"ImprovedShaderStreaming"	"1602"	"FUN_10045ad0"	"InstallImprovedShaderStreamingPatch"	"verified_installer"	"graphics_render"	"custom_hook"	""
"LaunchWithPlayGTAIV"	"1610"	"FUN_100441b0"	"RedirectLauncherTargetToPlayGTAIV"	"verified_installer"	"platform_launcher"	"launcher_redirect"	"launcher target redirect, not a direct in-game patch"
"Patch6and7RemoveModChecks"	"1618"	"FUN_1005c160"	"GetConfigValueStringOrDefault"	"helper_misattribution"	"platform_launcher"	"helper_or_gate"	"raw matrix points to config helper, not a verified installer"
"Patch7RemoveModChecks"	"1628"	"FUN_1004ac90"	"ClearManagedString"	"helper_misattribution"	"platform_launcher"	"helper_or_gate"	"raw matrix points to string helper, not a verified installer"
"Patch4RemoveModChecks"	"1648"	"FUN_10005500"	"InstallLegacyModCheckOrGFWLPopupHook"	"verified_installer"	"platform_launcher"	"custom_hook"	"shared legacy popup/mod-check hook"
"RemoveGFWLUpdatePopup"	"1657"	"FUN_10005500"	"InstallLegacyModCheckOrGFWLPopupHook"	"verified_installer"	"platform_launcher"	"custom_hook"	"shared legacy popup/mod-check hook"
"SkipLauncher"	"1666"	"FUN_10045ce0"	"InstallSkipLauncherPatch"	"verified_installer"	"platform_launcher"	"custom_hook"	""
"NoLoadingSleep"	"1689"	"FUN_1003d670"	"InstallNoLoadingSleepPatch"	"verified_installer"	"compat_startup"	"constant_write"	""
"SkipIntro"	"1697"	"FUN_10003e20"	"InstallSkipIntroPatch"	"verified_installer"	"platform_launcher"	"custom_hook"	"actual installer is gated by HasFusionFixConflictForLegacyPatch"
"SkipMenu"	"1719"	"FUN_10003e20"	"InstallSkipMenuPatch"	"verified_installer"	"platform_launcher"	"custom_hook"	"actual installer is gated by HasFusionFixConflictForLegacyPatch"
"DoNotPauseOnMinimize"	"1756"	"FUN_1001ede0"	"InstallDoNotPauseOnMinimizePatch"	"verified_installer"	"gameplay_capacity"	"constant_write"	""
"BorderlessWindowed"	"1770"	"FUN_10003e20"	"HasFusionFixConflictForLegacyPatch"	"helper_gate_only"	"platform_launcher"	"helper_or_gate"	"only FusionFix conflict gate is verified in current notes"
"VRAMFix"	"1791"	"FUN_1004aae0"	"InstallVRAMFixPatch"	"verified_installer"	"graphics_render"	"custom_hook"	""
"SavegameFix"	"1799"	"FUN_10045610"	"InstallSavegameFixPatch"	"verified_installer"	"compat_startup"	"custom_hook"	""
"StartupTimeFix"	"1822"	"FUN_100468d0"	"InstallStartupTimeFixPatch"	"verified_installer"	"compat_startup"	"verified_behavior_pending_bucket"	""
"MiscFixes"	"1830"	"FUN_10023dd0"	"InstallMiscFixesPatch"	"verified_installer"	"gameplay_capacity"	"multi_patch_bucket"	""
"SpeedupBugFix"	"1838"	"FUN_100506b0"	"InstallSpeedupBugFixPatch"	"verified_installer"	"compat_startup"	"custom_hook"	""
"NewFilesCompatibility"	"1846"	"FUN_10051920"	"InstallNewFilesCompatibilityPatch"	"verified_installer"	"compat_startup"	"custom_hook"	""
"NewSavesCompatibility"	"1854"	"FUN_10052200"	"InstallNewSavesCompatibilityPatch"	"verified_installer"	"compat_startup"	"custom_hook"	""
"PedModelsInCutscenesFix"	"1862"	"FUN_100508c0"	"InstallPedModelsInCutscenesFixPatch"	"verified_installer"	"compat_startup"	"custom_hook"	""
"RestoreDeathMusic"	"1870"	"FUN_10052380"	"InstallRestoreDeathMusicPatch"	"verified_installer"	"compat_startup"	"custom_hook"	"raw matrix pointed at EnsureIVMenuApiLoaded helper"
"LocalSettingsPath"	"1886"	"FUN_100513a0"	"InstallLocalSettingsPathPatch"	"verified_installer"	"compat_startup"	"path_redirect"	""
